sezon,ev_sahibi,deplasman,ev_gol,deplasman_gol
25/26,Wolverhampton Wanderers,Arsenal,2,2
25/26,Bournemouth,Manchester United,2,2
25/26,Brighton & Hove Albion,Liverpool,2,1
25/26,Fulham,Burnley,3,1
25/26,Everton,Chelsea FC,3,0
25/26,Leeds United,Brentford,0,0
25/26,Newcastle United,Sunderland,1,2
25/26,Tottenham Hotspur,Nottingham Forest,0,3
25/26,Aston Villa,West Ham United,2,0
25/26,Manchester City,Crystal Palace,3,0
24/25,Everton FC,Arsenal FC,1,1
24/25,Crystal Palace FC,Brighton & Hove Albion FC,2,1
24/25,Ipswich Town FC,Wolverhampton Wanderers FC,1,2
24/25,West Ham United FC,AFC Bournemouth,2,2
24/25,Aston Villa FC,Nottingham Forest FC,2,1
24/25,Brentford FC,Chelsea FC,0,0
24/25,Fulham FC,Liverpool FC,3,2
24/25,Tottenham Hotspur FC,Southampton FC,3,1
24/25,Manchester United FC,Manchester City FC,0,0
24/25,Leicester City FC,Newcastle United FC,0,3
23/24,Nottingham Forest FC,Fulham FC,3,1
23/24,Newcastle United FC,Everton FC,1,1
23/24,AFC Bournemouth,Crystal Palace FC,1,0
23/24,Burnley FC,Wolverhampton Wanderers FC,1,1
23/24,West Ham United FC,Tottenham Hotspur FC,1,1
23/24,Arsenal FC,Luton Town FC,2,0
23/24,Brentford FC,Brighton & Hove Albion FC,0,0
23/24,Manchester City FC,Aston Villa FC,4,1
23/24,Liverpool FC,Sheffield United FC,3,1
23/24,Chelsea FC,Manchester United FC,4,3
22/23,Aston Villa FC,Newcastle United FC,3,0
22/23,Wolverhampton Wanderers FC,Brentford FC,2,0
22/23,Southampton FC,Crystal Palace FC,0,2
22/23,Everton FC,Fulham FC,1,3
22/23,Chelsea FC,Brighton & Hove Albion FC,1,2
22/23,Tottenham Hotspur FC,AFC Bournemouth,2,3
22/23,Manchester City FC,Leicester City FC,3,1
22/23,West Ham United FC,Arsenal FC,2,2
22/23,Nottingham Forest FC,Manchester United FC,0,2
22/23,Leeds United FC,Liverpool FC,1,6
21/22,Liverpool FC,Watford FC,2,0
21/22,Brighton & Hove Albion FC,Norwich City FC,0,0
21/22,Burnley FC,Manchester City FC,0,2
21/22,Chelsea FC,Brentford FC,1,4
21/22,Leeds United FC,Southampton FC,1,1
21/22,Wolverhampton Wanderers FC,Aston Villa FC,2,1
21/22,Manchester United FC,Leicester City FC,1,1
21/22,West Ham United FC,Everton FC,2,1
21/22,Tottenham Hotspur FC,Newcastle United FC,5,1
21/22,Crystal Palace FC,Arsenal FC,3,0
20/21,Fulham FC,Wolverhampton Wanderers FC,0,1
20/21,Manchester City FC,Leeds United FC,1,2
20/21,Liverpool FC,Aston Villa FC,2,1
20/21,Crystal Palace FC,Chelsea FC,1,4
20/21,Burnley FC,Newcastle United FC,1,2
20/21,West Ham United FC,Leicester City FC,3,2
20/21,Tottenham Hotspur FC,Manchester United FC,1,3
20/21,Sheffield United FC,Arsenal FC,0,3
20/21,West Bromwich Albion FC,Southampton FC,3,0
20/21,Brighton & Hove Albion FC,Everton FC,0,0
19/20,Tottenham Hotspur,West Ham United,2,0
19/20,Leicester City,Brighton & Hove Albion,0,0
19/20,Manchester United,Sheffield United,3,0
19/20,Newcastle United,Aston Villa,1,1
19/20,Norwich City,Everton FC,0,1
19/20,Wolverhampton Wanderers,AFC Bournemouth,1,0
19/20,Liverpool FC,Crystal Palace,4,0
19/20,Southampton FC,Arsenal FC,0,2
19/20,Chelsea FC,Manchester City,2,1
19/20,Burnley FC,Watford FC,1,0
18/19,AFC Bournemouth,Newcastle United,2,2
18/19,West Ham United,Huddersfield Town,4,3
18/19,Burnley FC,Leicester City,1,2
18/19,Everton FC,Chelsea FC,2,0
18/19,Fulham FC,Liverpool FC,1,2
18/19,Tottenham Hotspur,Crystal Palace,2,0
18/19,Brighton & Hove Albion,Cardiff City,0,2
18/19,Watford FC,Southampton FC,1,1
18/19,Manchester United,Manchester City,0,2
18/19,Wolverhampton Wanderers,Arsenal FC,3,1
17/18,Huddersfield Town,Crystal Palace,0,2
17/18,Stoke City,Everton FC,1,2
17/18,Liverpool FC,Watford FC,5,0
17/18,AFC Bournemouth,West Bromwich Albion,2,1
17/18,Burnley FC,Chelsea FC,1,2
17/18,Swansea City,Southampton FC,0,1
17/18,Manchester City,Brighton & Hove Albion,3,1
17/18,Leicester City,Arsenal FC,3,1
17/18,Tottenham Hotspur,Newcastle United,1,0
17/18,West Ham United,Manchester United,0,0
16/17,Burnley FC,Stoke City,1,0
16/17,Manchester United,Everton FC,1,1
16/17,Leicester City,Sunderland AFC,2,0
16/17,Watford FC,West Bromwich Albion,2,0
16/17,Southampton FC,Crystal Palace,3,1
16/17,Chelsea FC,Manchester City,2,1
16/17,Liverpool FC,AFC Bournemouth,2,2
16/17,Arsenal FC,West Ham United,3,0
16/17,Swansea City,Tottenham Hotspur,1,3
16/17,Hull City,Middlesbrough FC,4,2
15/16,Everton FC,Arsenal FC,0,2
15/16,Crystal Palace,Leicester City,0,1
15/16,Chelsea FC,West Ham United,2,2
15/16,Swansea City,Aston Villa,1,0
15/16,West Bromwich Albion,Norwich City,0,1
15/16,Watford FC,Stoke City,1,2
15/16,Southampton FC,Liverpool FC,3,2
15/16,Newcastle United,Sunderland AFC,1,1
15/16,Manchester City,Manchester United,0,1
15/16,Tottenham Hotspur,AFC Bournemouth,3,0
14/15,Manchester United,Aston Villa,3,1
14/15,Arsenal FC,Liverpool FC,4,1
14/15,Everton FC,Southampton FC,1,0
14/15,Leicester City,West Ham United,2,1
14/15,West Bromwich Albion,Queens Park Rangers,1,4
14/15,Swansea City,Hull City,3,1
14/15,Chelsea FC,Stoke City,2,1
14/15,Burnley FC,Tottenham Hotspur,0,0
14/15,Sunderland AFC,Newcastle United,1,0
14/15,Crystal Palace,Manchester City,2,1
13/14,West Ham United,Manchester United,0,2
13/14,Norwich City,Sunderland AFC,2,0
13/14,Newcastle United,Crystal Palace,1,0
13/14,Manchester City,Fulham FC,5,0
13/14,Hull City,West Bromwich Albion,2,0
13/14,Everton FC,Swansea City,3,2
13/14,Cardiff City,Liverpool FC,3,6
13/14,Chelsea FC,Arsenal FC,6,0
13/14,Tottenham Hotspur,Southampton FC,3,2
13/14,Aston Villa,Stoke City,1,4
12/13,Manchester City,Newcastle United,4,0
12/13,Everton FC,Stoke City,1,0
12/13,Wigan Athletic,Norwich City,1,0
12/13,West Ham United,West Bromwich Albion,3,1
12/13,Sunderland AFC,Manchester United,0,1
12/13,Arsenal FC,Reading FC,4,1
12/13,Southampton FC,Chelsea FC,2,1
12/13,Swansea City,Tottenham Hotspur,1,2
12/13,Aston Villa,Liverpool FC,1,2
12/13,Fulham FC,Queens Park Rangers,3,2
11/12,Aston Villa,Chelsea FC,2,4
11/12,Wolverhampton Wanderers,Bolton Wanderers,2,3
11/12,Everton FC,West Bromwich Albion,2,0
11/12,Fulham FC,Norwich City,2,1
11/12,Manchester City,Sunderland AFC,3,3
11/12,Queens Park Rangers,Arsenal FC,2,1
11/12,Wigan Athletic,Stoke City,2,0
11/12,Newcastle United,Liverpool FC,2,0
11/12,Tottenham Hotspur,Swansea City,3,1
11/12,Blackburn Rovers,Manchester United,0,2
10/11,Birmingham City,Bolton Wanderers,2,1
10/11,Arsenal FC,Blackburn Rovers,0,0
10/11,West Ham United,Manchester United,2,4
10/11,Everton FC,Aston Villa,2,2
10/11,Stoke City,Chelsea FC,1,1
10/11,Newcastle United,Wolverhampton Wanderers,4,1
10/11,Wigan Athletic,Tottenham Hotspur,0,0
10/11,West Bromwich Albion,Liverpool FC,2,1
10/11,Fulham FC,Blackpool FC,3,0
10/11,Manchester City,Sunderland AFC,5,0
09/10,Arsenal FC,West Ham United,2,0
09/10,Stoke City,Tottenham Hotspur,1,2
09/10,Sunderland AFC,Birmingham City,3,1
09/10,Portsmouth FC,Hull City,3,2
09/10,Everton FC,Bolton Wanderers,2,0
09/10,Wigan Athletic,Burnley FC,1,0
09/10,Aston Villa,Wolverhampton Wanderers,2,2
09/10,Fulham FC,Manchester City,1,2
09/10,Blackburn Rovers,Chelsea FC,1,1
09/10,Manchester United,Liverpool FC,2,1
08/09,Fulham FC,Liverpool FC,0,1
08/09,Blackburn Rovers,Tottenham Hotspur,2,1
08/09,Arsenal FC,Manchester City,2,0
08/09,Bolton Wanderers,Middlesbrough FC,4,1
08/09,Hull City,Portsmouth FC,0,0
08/09,Newcastle United,Chelsea FC,0,2
08/09,West Bromwich Albion,Stoke City,0,2
08/09,West Ham United,Sunderland AFC,2,0
